행정구역(시군구)별,2023.04,2023.04.1,2023.04.2,2023.05,2023.05.1,2023.05.2,2023.06,2023.06.1,2023.06.2
서울특별시,9422710,4563512,4859198,9418885,4560702,4858183,9414093,4557609,4856484
부산광역시,3311402,1615593,1695809,3309261,1614226,1695035,3306993,1613071,1693922
대구광역시,2357881,1159042,1198839,2357032,1158397,1198635,2356416,1157923,1198493
인천광역시,2976338,1489277,1487061,2978089,1490065,1488024,2978749,1490345,1488404
광주광역시,1426625,704974,721651,1425739,704489,721250,1424818,703887,720931
대전광역시,1445214,720934,724280,1445221,720874,724347,1445126,720783,724343
울산광역시,1107134,568824,538310,1106446,568518,537928,1106015,568302,537713
세종특별자치시,385825,192316,193509,386050,192393,193657,386126,192435,193691
경기도,13607919,6847848,6760071,13612597,6850133,6762464,13618969,6852980,6765989
강원도,1533356,771382,761974,1533081,771322,761759,1532617,771147,761470
충청북도,1594109,810806,783303,1594007,810783,783224,1593931,810748,783183
충청남도,2125333,1088126,1037207,2125833,1088548,1037285,2126374,1088924,1037450
전라북도,1764181,877966,886215,1763004,877382,885622,1762021,876978,885043
전라남도,1813439,913624,899815,1812475,913215,899260,1811554,912823,898731
경상북도,2592205,1308840,1283365,2590726,1308195,1282531,2588860,1307284,1281576
경상남도,3267369,1645335,1622034,3265018,1644124,1620894,3263251,1643148,1620103
제주특별자치도,677115,339086,338029,677057,338995,338062,676832,338857,337975
